Addis Ababa	ET	ADIS	9 2	38 46	
Afogados da Ingazeira	PE	PEAF	-07 46	-37 38	
Alegrete	RS	RSAL	-29 47	-55 46	
Altamira	PA	PAAT	-3 12	-52 10	
Ankara	TU	ANKR	39 53	32 45		
Aquidauana	MS	MSAQ	-20 27	-55 40	
Aracaju - São Cristóvão	SE	SEAJ	-10 55	-37 06	
Arapiraca	AL	ALAR	-9 44	-36 39	
Araquari	SC	SCAQ	-26 23	-48 44	
Araçatuba	SP	SPAR	-21 11	-50 26	
Arta	DJ	DJIG	11 31	42 50	
Bacabal	MA	MABB	-04 14	-44 49	
Balsas	MA	MABS	-7 32	-46 2	
Barcelos	AM	AMBC	-00 58	-62 55	
Barra do Garças	MT	MTBA	-15 53	-52 15	
Barra do Garças - UFMT	MT	MTGA	-15 53	-52 19	
Barreiras	BA	BABR	-12 9	-44 59	
Belo Horizonte	MG	MGBH	-19 56	-43 55	
Belém	PA	BELE	-1 24	-48 27	
Belém INPE	PA	BEPA	-01 27	-48 26	
Boa Vista	RR	BOAV	2 50	-60 42	
Bom Jesus da Lapa	BA	BOMJ	-13 15	-43 25	
Bom Jesus da Lapa - IF Baiano	BA	BABJ	-13 16	-43 33	
Botucatu	SP	SPBO	-22 51	-48 26	
Bragança Paulista	SP	SPBP	-22 59	-46 32	
Brasília	DF	BRAZ	-15 56	-47 52	
Cachoeira Paulista	SP	CHPI	-22 41	-44 59	
Campina Grande	PB	PBCG	-7 12	-35 54	
Campinas	SP	SPCA	-22 48	-47 3	
Campinas - UNICAMP	SP	SPC1	-22 49	-47 04	
Campo Grande	MS	MSCG	-20 26	-54 32	
Campos dos Goytacazes	RJ	RJCG	-21 45	-41 19	
Cananéia	SP	NEIA	-25 1	-47 55	
Canarana	MT	MTCN	-13 33	-52 16	
Cascavel	PR	PRCV	-24 58	-53 28	
Cerro Largo	RS	RSCL	-28 09	-54 45	
Chapecó	SC	SCCH	-27 8	-52 35	
Coari	AM	AMCO	-4 52	-65 20	
Coari UEA	AM	COAM	-04 5	-63 08	
Colider	MT	MTCO	-10 48	-55 27	
Colorado d'Oeste	RO	ROCD	-13 7	-60 33	
Corrente	PI	PICR	-10 26	-45 10	
Corumbá	MS	MSCO	-19 00	-57 38	
Corumbá  - Embrapa	MS	MSCB	-18 59	-56 37	
Corumbá  - UFMS	MS	CORU	-19 00	-57 38	
Crato	CE	CRAT	-7 14	-39 24	
Cruzeiro do Sul	AC	CRUZ	-7 36	-72 40	
Cuiabá	MT	CUIB	-15 33	-56 4	
Curitiba	PR	PARA	-25 26	-49 13	
Curitiba	PR	UFPR	-25 26	-49 13	
De Aar	SA	DEAR	-30 39	23 59	
Dourados	MS	MSDO	-22 13	-54 48	
Dourados - UFGD	MS	MSDR	-22 12	-54 56	
Dracena	SP	SPDR	-21 27	-51 33	
Fernandópolis	SP	SPFE	-20 16	-50 14	
Floriano	PI	PIFL	-06 47	-43 02	
Florianópolis	SC	SCFL	-27 36	-48 31	
Florianópolis - IFSC	SC	IFSC	-27 36	-48 33	
Fortaleza	CE	BRFT	-3 52	-38 25	
Fortaleza	CE	CEEU	-3 52	-38 25	
Fortaleza	CE	CEFT	-3 42	-38 28	
Fortaleza	CE	FORT	-3 52	-38 25	
Foz do Iguaçu - ITAIPU	PR	ITAI	-25 25	-54 35	
Franca	SP	SPFR	-20 31	-47 23	
Goiânia	GO	GOGY	-16 40	-49 15	
Gov. Valadares	MG	GVAL	-18 51	-41 57	
Gov. Valadares - Rede CEMIG	MG	GVA1	-18 51	-41 57	
Guajará -Mirim	RO	ROGM	-10 47	-65 20	
Guarapuava	PR	PRGU	-25 23	-51 29	
Gurupi	TO	TOGU	-11 44	-49 2	
Hermanus	SA	HNUS	-34 25	19 13	
Humaitá	AM	AMHA	-07 31	-63 02	
Humaitá	AM	AMHU	-7 30	-63 02	
Ilha Solteira	SP	ILHA	-20 26	-51 21	
Ilhéus	BA	BAIL	-14 48	-39 10	
Imbituba	SC	IMBT	-28 14	-48 39	
Imperatriz	MA	IMPZ	-5 29	-47 29	
Inconfidentes	MG	MGIN	-22 19	-46 20	
